ID,问题分类,标准提问(User Query),建议回答(Bot Response)
1,核心找房,我想租一个1000元左右的单间,"没问题，1000元预算是我们平台房源最丰富的价位。为您推荐以下位于宝安、龙华等热门区域的高性价比单间，请查看：[房源列表链接]"
2,核心找房,找2000元左右的一房一厅,"收到，2000元预算可以租到空间宽敞、居住舒适的一房一厅。为您精选了以下采光好、格局方正的房源：[房源列表链接]"
3,通勤需求,想找离地铁近的房子,"明白，通勤便利很重要。已为您优先筛选距离地铁站步行10分钟以内的“地铁房”，覆盖1号线、5号线等核心线路：[地铁房列表]"
4,区域找房,我想在宝安区租房,"宝安区是我们房源最多的区域，主要集中在西乡、固戍、坪洲等地。请问您具体的预算是多少？或者您可以直接查看宝安区精选房源：[宝安房源链接]"
5,区域找房,龙华区有没有合适的房子,"龙华区交通便利，非常适合在福田或北站通勤的朋友。为您推荐民治、大浪等片区的热门房源：[龙华房源链接]"
6,设施需求,我要有阳台的房子,"非常理解，有阳台晾晒更方便。已为您过滤出所有“带独立阳台”的房源，采光通风俱佳：[带阳台房源列表]"
7,户型找房,有没有一房一厅推荐,"有的，一房一厅适合情侣或追求生活品质的独居人士。请问您大概的预算范围是？您可以先看看这些热门的一房一厅：[一房一厅列表]"
8,户型找房,我想看下单间,"单间是我们性价比最高的户型。无论您是在宝安还是龙华，我们都有大量精装单间可供选择：[单间列表]"
9,区域找房,南山区有房源吗,"南山区房源主要集中在西丽、南头等片区，适合科技园上班族。由于地段核心，价格会稍高，您可以查看以下房源：[南山房源列表]"
10,特殊租期,可以短租吗/有没有月租,"支持短租的。我们部分门店提供灵活租期服务（如1-3个月短租）。请注意短租价格可能略有浮动，具体房源请看这里：[短租房源列表]"
11,特殊组合,宝安区有没有1000左右的单间,"有的，这是宝安区最抢手的房源类型！西乡、固戍片区有很多此类高性价比单间，手慢无，建议您尽快预约看房：[宝安千元单间列表]"
12,设施需求,我想找带电梯的房子,"没问题，不想爬楼梯太累。已为您筛选所有“电梯房”，搬家购物更轻松：[电梯房列表]"
13,预算找房,预算1500元能租什么,"1500元的预算选择非常多！您可以租到品质极佳的品牌公寓单间，或者稍微偏远一点的一房一厅。为您推荐：[1500元精选列表]"
14,区域找房,龙岗区哪里有房,"龙岗区房源主要分布在坂田、五和（近华为）以及龙岗中心城。性价比很高，您可以看看这些：[龙岗房源列表]"
15,特殊需求,可以养宠物/养猫吗,"我们非常欢迎毛孩子！平台上有大量“宠物友好”公寓。为您筛选了允许养宠的房源，部分还带大阳台方便宠物活动：[宠物友好房源]"
16,内部咨询,公司规章制度/请假流程,"（内部回复）员工请假及规章制度详情，请登录公司OA系统查看《员工手册》或咨询HR部门。OA链接：[内部链接]"
17,设施需求,可以做饭吗/有厨房吗,"可以的，民以食为天。已为您筛选“带独立厨房/操作台”的房源，支持使用电磁炉或燃气烹饪：[可做饭房源列表]"
18,服务咨询,怎么联系管家,"您可以点击房源详情页底部的“联系管家”按钮，或者直接拨打我们的客服热线 400-XXX-XXXX。如有紧急服务需求，请留言。"
19,特殊组合,龙华区有没有一房一厅,"有的，龙华区的一房一厅主要集中在民治和清湖片区，非常适合家庭或情侣居住。推荐您看这些：[龙华一房一厅列表]"
20,户型找房,有没有两房一厅,"有的，两房一厅适合合租或家庭居住。由于数量相对较少，建议您提前预约看房。现有房源如下：[两房一厅列表]"
21,闲聊,你好/在吗,"您好！我是您的AI找房助手。请问您想找哪个区域的房子？或者告诉我您的预算（比如：宝安 单间 1000元）。"
22,特殊组合,单间预算1500左右,"1500元的单间通常配置较好，可能包含品牌家电或位于地铁口。为您精选了该价位的优质单间：[品质单间列表]"
23,服务咨询,我想预约看房,"好的，看房请直接在您感兴趣的房源页面点击“预约看房”，选择合适的时间，系统会自动为您安排管家接待。"
24,支付方式,可以押一付一吗,"我们大部分房源支持多种付款方式。具体的押金方式（如押一付一、押二付一）请查看具体房源的详情描述，或在签约时与管家确认。"
25,门店咨询,XXX店在哪里/位置在哪,"您可以直接在APP地图模式中搜索该店名。如果找不到，请告诉我具体的店名（如：民治店、永丰店），我帮您查询具体定位。"
26,业务咨询,我要转租,"如果您是现有租客需要转租，请在APP“我的租约”中提交转租申请，或直接联系您的专属管家办理转租手续。"
27,内部咨询,晋升机制/绩效工资,"（内部回复）关于晋升体系和绩效计算规则，请参考HR部门发布的《薪酬绩效管理办法》，如有疑问请直接联系您的上级或HRBP。"
28,产品咨询,什么是随心住,"“随心住”是我们推出的灵活换房产品，会员权益包括在不同门店间免费换房等（具体以最新活动规则为准）。详情请见：[随心住介绍]"
29,特殊组合,龙华区有没有单间,"龙华区的单间主要集中在4号线沿线，通勤很方便。为您推荐民治、龙华地铁站附近的单间：[龙华单间列表]"
30,区域找房,福田/罗湖有房吗,"福田和罗湖作为中心区，房源较为紧俏且价格稍高。我们在这两个区域也有精选门店，您可以查看：[中心区房源列表]"
